# Sensor Fernhill Road, Sandringham, Australia (Citizen Science project sensor.community/54869)
# https://aqicn.org/station/@189871/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-12-29T00:00:00.000Z,2,4,3,2,4,0.816,3
2020-12-30T00:00:00.000Z,0,55,2,1,4,4.531,278
2020-12-31T00:00:00.000Z,1,131,5,3,6,10.984,232
2021-01-01T00:00:00.000Z,0,32,4,3,5,4.167,306
2021-01-02T00:00:00.000Z,0,92,6,2,9,9.664,183
2021-01-03T00:00:00.000Z,0,89,3,1,8,9.446,284
2021-01-04T00:00:00.000Z,0,23,1,0,4,3.037,192
2021-01-05T00:00:00.000Z,0,6,3,2,3,1.198,272
2021-01-06T00:00:00.000Z,0,13,3,1,6,2.819,281
2021-01-07T00:00:00.000Z,0,37,3,2,5,4.667,280
2021-01-08T00:00:00.000Z,0,101,3,2,5,8.73,285
2021-01-09T00:00:00.000Z,1,50,9,5,13,6.327,286
2021-01-10T00:00:00.000Z,1,46,5,4,8,5.546,283
2021-01-11T00:00:00.000Z,0,80,3,1,4,6.053,263
2021-01-12T00:00:00.000Z,0,23,3.5,2,5,3.332,274
2021-01-13T00:00:00.000Z,0,188,8,6,10,18.044,272
2021-01-14T00:00:00.000Z,0,40,1,1,2,3.734,262
2021-01-15T00:00:00.000Z,0,6,1,0,2,1.32,284
2021-01-16T00:00:00.000Z,0,67,3,1,4,4.958,268
2021-01-17T00:00:00.000Z,0,41,3,2,4,4.535,249
2021-01-18T00:00:00.000Z,0,115,3,1,6,13.038,237
2021-01-19T00:00:00.000Z,0,44,4,2,6,6.277,215
2021-01-20T00:00:00.000Z,0,38,4,3,7,7.483,264
2021-01-21T00:00:00.000Z,1,63,5,4,7,7.349,246
2021-01-22T00:00:00.000Z,1,87,7,5,8,10.164,258
2021-01-23T00:00:00.000Z,3,68,7,5,9,6.527,260
2021-01-24T00:00:00.000Z,1,46,4,3,5,3.787,278
2021-01-25T00:00:00.000Z,0,66,4,2,5,6.294,238
2021-01-26T00:00:00.000Z,0,9,2,1,3,1.629,281
2021-01-27T00:00:00.000Z,0,214,1,0,2,17.667,238
2021-01-28T00:00:00.000Z,0,12,3,2,3.5,2.156,293
2021-01-29T00:00:00.000Z,0,20,3,1,9.5,5.259,281
2021-01-30T00:00:00.000Z,0,129,1,1,2,12.192,270
2021-01-31T00:00:00.000Z,0,69,2,1,6,9.039,280
2021-02-01T00:00:00.000Z,0,40,2,1,12,7.326,236
2021-02-02T00:00:00.000Z,0,11,1,0,2,1.864,184
2021-02-03T00:00:00.000Z,0,171,5,2,6,18.07,306
2021-02-04T00:00:00.000Z,0,66,5,3,8,6.871,267
2021-02-05T00:00:00.000Z,0,63,3,1,5,6.916,239
2021-02-06T00:00:00.000Z,0,129,1,0,2,13.71,247
2021-02-07T00:00:00.000Z,0,126,1,0,2,8.361,237
2021-02-08T00:00:00.000Z,0,6,1,0,1,1.189,261
2021-02-09T00:00:00.000Z,0,43,2,1,3,4.133,248
2021-02-10T00:00:00.000Z,1,90,6,4,8,7.001,239
2021-02-11T00:00:00.000Z,1,31,5,4,7,2.969,237
2021-02-12T00:00:00.000Z,0,94,2,1,4,9.037,279
2021-02-13T00:00:00.000Z,0,5,1,0,1,1.104,262
2021-02-14T00:00:00.000Z,0,74,2,1,4,5.98,243
2021-02-15T00:00:00.000Z,0,55,5,2,12,9.472,250
2021-02-16T00:00:00.000Z,0,71,3,2,6,6.798,233
2021-02-17T00:00:00.000Z,0,31,8,4,12,5.49,235
2021-02-18T00:00:00.000Z,0,157,3,1,5,17.974,267
2021-02-19T00:00:00.000Z,0,52,2,1,5,5.452,245
2021-02-20T00:00:00.000Z,1,37,7,6,9,4.157,253
2021-02-21T00:00:00.000Z,0,272,2,1,3,18.946,263
2021-02-22T00:00:00.000Z,0,40,1,1,2,3.219,221
2021-02-23T00:00:00.000Z,0,57,0,0,1,7.321,166
2021-02-24T00:00:00.000Z,0,41,0,0,2,3.544,234
2021-02-25T00:00:00.000Z,0,43,1,0,2,8.637,234
2021-02-26T00:00:00.000Z,0,70,2,1,3,5.002,228
2021-02-27T00:00:00.000Z,2,48,19,10,29,10.142,261
2021-02-28T00:00:00.000Z,3,106,14,10,24.5,14.063,261
2021-03-01T00:00:00.000Z,0,104,1,1,3,9.415,238
2021-03-02T00:00:00.000Z,0,4,0,0,0,0.588,214
2021-03-03T00:00:00.000Z,0,8,0,0,0,0.865,235
2021-03-04T00:00:00.000Z,0,16,2,1,3,2.085,231
2021-03-05T00:00:00.000Z,0,85,2,1,3,5.329,254
2021-03-06T00:00:00.000Z,1,29,5,3,7,3.177,246
2021-03-07T00:00:00.000Z,1,62,9,6,15.5,9.014,269
2021-03-08T00:00:00.000Z,0,10,4,1,6,2.854,249
2021-03-09T00:00:00.000Z,0,34,1,0,2,2.442,258
2021-03-10T00:00:00.000Z,0,63,3,1,5,5.729,220
2021-03-11T00:00:00.000Z,5,112,15,11,20,11.678,243
2021-03-12T00:00:00.000Z,3,149,12,7,23.5,18.726,249
2021-03-13T00:00:00.000Z,0,41,2,1,3,4.767,249
2021-03-14T00:00:00.000Z,0,75,1,0,2,6.815,246
2021-03-15T00:00:00.000Z,0,18,1,0,2,1.892,224
2021-03-16T00:00:00.000Z,0,24,5,3,12,5.436,226
2021-03-17T00:00:00.000Z,1,117,9,4,15,12.032,261
2021-03-18T00:00:00.000Z,1,211,14,8,24,16.602,240
2021-03-19T00:00:00.000Z,0,115,6,4,10.5,13.38,241
2021-03-20T00:00:00.000Z,0,98,4,2,8,11.089,254
2021-03-21T00:00:00.000Z,3,54,6,5,7,7.034,247
2021-03-22T00:00:00.000Z,0,179,6,3,11,22.334,243
2021-03-23T00:00:00.000Z,0,26,2,1,4,3.217,189
2021-03-24T00:00:00.000Z,0,9,2,1,3,1.764,239
2021-03-25T00:00:00.000Z,0,18,2,1,3,2.037,134
2021-03-26T00:00:00.000Z,0,45,1,0,3,5.397,227
2021-03-27T00:00:00.000Z,0,10,1,0,1,1.32,91
2021-03-28T00:00:00.000Z,0,49,1,0,3,4.943,203
2021-03-29T00:00:00.000Z,0,16,3,1,6,2.81,195
2021-03-30T00:00:00.000Z,0,140,3,1,5,10.055,222
2021-03-31T00:00:00.000Z,6,48,13,11,17,5.202,195
2021-04-01T00:00:00.000Z,2,32,15,11,20,5.306,178
2021-04-02T00:00:00.000Z,13,124,32.5,20,49,17.667,200
2021-04-03T00:00:00.000Z,3,102,10,7,13,8.471,211
2021-04-04T00:00:00.000Z,0,20,4,2,5,2.633,208
2021-04-05T00:00:00.000Z,0,58,2,1,5,6.754,180
2021-04-06T00:00:00.000Z,6,91,21,15.5,27,11.454,240
2021-04-07T00:00:00.000Z,9,69,39,26,50,15.598,166
2021-04-08T00:00:00.000Z,0,56,10,2,18,9.227,193
2021-04-09T00:00:00.000Z,0,8,1,0,2,1.373,191
2021-04-10T00:00:00.000Z,0,55,2,1,4.5,9.834,172
2021-04-11T00:00:00.000Z,0,53,3,1,4,6.135,146
2021-04-12T00:00:00.000Z,0,118,3,0,11,17.964,145
2021-04-13T00:00:00.000Z,0,33,8,3,14,7.692,141
2021-04-14T00:00:00.000Z,0,7,2,1,3,1.591,133
2021-04-15T00:00:00.000Z,0,8,2,1,3,1.417,123
2021-04-16T00:00:00.000Z,0,80,1,0,2,7.148,135
2021-04-17T00:00:00.000Z,0,94,2,1,3,14.595,150
2021-04-18T00:00:00.000Z,0,68,3,1,9,8.188,134
2021-04-19T00:00:00.000Z,0,6,2,1,3,1.346,130
2021-04-20T00:00:00.000Z,0,58,3,0,9,9.643,129
2021-04-21T00:00:00.000Z,0,17,2,1,4,2.601,128
2021-04-22T00:00:00.000Z,0,16,1,1,3,3.308,117
2021-04-23T00:00:00.000Z,0,10,3,2,5,1.994,111
2021-04-24T00:00:00.000Z,0,36,2,1,7,6.026,131
2021-04-25T00:00:00.000Z,0,11,1,0,2,1.985,158
2021-04-26T00:00:00.000Z,0,20,1,0,2,2.205,133
2021-04-27T00:00:00.000Z,0,76,3,0,13.5,10.397,101
2021-04-28T00:00:00.000Z,2,49,11,6.5,25,11.542,129
2021-04-29T00:00:00.000Z,19,75,42.5,32.5,63,15.957,116
2021-04-30T00:00:00.000Z,16,189,55,21.5,72,28.594,105
2021-05-01T00:00:00.000Z,23,76,46,29,59,14.848,139
2021-05-02T00:00:00.000Z,1,30,10,7,16,7.264,133
2021-05-03T00:00:00.000Z,1,23,6,3,7,3.627,125
2021-05-04T00:00:00.000Z,0,25,3,2,10,5.882,122
2021-05-05T00:00:00.000Z,0,25,3,1,5,5.012,126
2021-05-06T00:00:00.000Z,7,63,24,18,42,13.711,118
2021-05-07T00:00:00.000Z,1,73,20,6,34,18.571,120
2021-05-08T00:00:00.000Z,0,38,19,5,26,10.96,127
2021-05-09T00:00:00.000Z,0,35,5,3,10,5.422,144
2021-05-10T00:00:00.000Z,0,27,3,2,6,4.772,134
2021-05-11T00:00:00.000Z,0,27,2,1,4,4.624,122
2021-05-12T00:00:00.000Z,2,70,9,6,31,16.318,116
2021-05-13T00:00:00.000Z,0,39,3,2,5,5.501,145
2021-05-14T00:00:00.000Z,0,37,2,1,3,4.609,130
2021-05-15T00:00:00.000Z,0,7,2,1,3,1.631,145
2021-05-16T00:00:00.000Z,0,10,1,0,2,1.411,151
2021-05-17T00:00:00.000Z,0,47,7,2,15,10.334,131
2021-05-18T00:00:00.000Z,0,46,9,7,12.5,7.716,113
2021-05-19T00:00:00.000Z,0,16,7,3,10,4.218,150
2021-05-20T00:00:00.000Z,3,43,7,5,20.5,8.525,153
2021-05-21T00:00:00.000Z,0,85,12,7.5,31,16.658,149
2021-05-22T00:00:00.000Z,3,46,24,6,33,13.017,120
2021-05-23T00:00:00.000Z,8,61,15,12,28,10.405,160
2021-05-24T00:00:00.000Z,1,37,5,3,7,3.768,148
2021-05-25T00:00:00.000Z,0,12,3,1,4,2.693,163
2021-05-26T00:00:00.000Z,0,43,3,2,4,5.036,166
2021-05-27T00:00:00.000Z,0,15,2,1,2,1.718,152
2021-05-28T00:00:00.000Z,0,12,1,0,2,2.465,157
2021-05-29T00:00:00.000Z,0,81,26,3,50.5,25.711,137
2021-05-30T00:00:00.000Z,9,124,22,17,49,29.225,170
2021-05-31T00:00:00.000Z,4,42,10,8,12,3.997,132
2021-06-01T00:00:00.000Z,2,25,9,8,13,4.221,176
2021-06-02T00:00:00.000Z,2,46,15,6,25,10.472,161
2021-06-03T00:00:00.000Z,0,90,9,3,23,22.481,149
2021-06-04T00:00:00.000Z,0,26,5,2,11,6.033,158
2021-06-05T00:00:00.000Z,1,17,5,4,8,3.425,158
2021-06-06T00:00:00.000Z,0,18,5,4,10,3.777,198
2021-06-07T00:00:00.000Z,0,24,2,1,4,4.436,320
2021-06-08T00:00:00.000Z,0,8,1,1,2,1.337,239
2021-06-09T00:00:00.000Z,2,78,6,5,7,6.007,262
2021-06-10T00:00:00.000Z,0,41,6,3,10,6.467,176
2021-06-11T00:00:00.000Z,1,43,7,4,19,12.775,182
2021-06-12T00:00:00.000Z,0,27,5,3,9,3.983,163
2021-06-13T00:00:00.000Z,0,164,42,4,99,48.811,162
2021-06-14T00:00:00.000Z,9,105,25.5,16,46,19.503,196
2021-06-15T00:00:00.000Z,4,26,12,8,17,5.164,202
2021-06-16T00:00:00.000Z,1,64,14,6,23,12.029,170
2021-06-17T00:00:00.000Z,0,47,19,2,25,11.619,237
2021-06-18T00:00:00.000Z,0,30,6,3,11,6.996,245
2021-06-19T00:00:00.000Z,0,55,11,2,24,12.555,278
2021-06-20T00:00:00.000Z,1,179,24,6,60,30.912,298
2021-06-21T00:00:00.000Z,0,50,14,7,22.5,10.911,272
2021-06-22T00:00:00.000Z,0,21,2,1,6,4.067,227
2021-06-23T00:00:00.000Z,0,15,3,2,5,2.216,289
2021-06-24T00:00:00.000Z,0,26,2,1,3,3.728,261
2021-06-25T00:00:00.000Z,0,67,1.5,0,6,9.393,296
2021-06-26T00:00:00.000Z,0,26,2,1,5,5.276,304
2021-06-27T00:00:00.000Z,0,124,27.5,3,42,24.504,310
2021-06-28T00:00:00.000Z,1,78,21,7,34,15.497,288
2021-06-29T00:00:00.000Z,1,58,13,7,19,9.522,318
2021-06-30T00:00:00.000Z,2,26,7,4,11,4.561,295
2021-07-01T00:00:00.000Z,1,28,10,4,12,4.688,261
2021-07-02T00:00:00.000Z,0,36,2,0,5,5.145,257
2021-07-03T00:00:00.000Z,0,42,1,0,5,5.119,327
2021-07-04T00:00:00.000Z,0,29,3,2,6,4.365,319
2021-07-05T00:00:00.000Z,0,32,2,1,6,6.832,258
2021-07-06T00:00:00.000Z,0,83,6,3,12,7.609,303
2021-07-07T00:00:00.000Z,1,79,20,8,26,11.288,270
2021-07-08T00:00:00.000Z,16,99,38.5,27,62.5,20.17,288
2021-07-09T00:00:00.000Z,16,183,107,50.5,122,39.145,325
2021-07-10T00:00:00.000Z,18,94,56,48,64,15.597,324
2021-07-11T00:00:00.000Z,1,72,7,3,11,9.541,353
2021-07-12T00:00:00.000Z,0,55,7,3,11,6.512,268
2021-07-13T00:00:00.000Z,0,26,4,2,8,4.879,237
2021-07-14T00:00:00.000Z,0,26,3,1,5,4.29,258
2021-07-15T00:00:00.000Z,0,23,1.5,1,5,3.17,314
2021-07-16T00:00:00.000Z,0,15,1,0,4,2.791,271
2021-07-17T00:00:00.000Z,0,77,2,1,6,12.675,320
2021-07-18T00:00:00.000Z,0,100,5,2,27,26.542,279
2021-07-19T00:00:00.000Z,0,9,1,0,1,1.533,117
2021-07-20T00:00:00.000Z,0,12,3,2,4,1.85,268
2021-07-21T00:00:00.000Z,0,28,5,2,13,7.335,295
2021-07-22T00:00:00.000Z,0,96,3,1,5,11.562,249
2021-07-23T00:00:00.000Z,0,51,2,0,8,10.25,213
2021-07-24T00:00:00.000Z,0,83,1,0,4,6.89,294
2021-07-25T00:00:00.000Z,0,35,1,0,4,5.078,321
2021-07-26T00:00:00.000Z,0,60,2,1,6,9.359,326
2021-07-27T00:00:00.000Z,0,21,1,0,3,3.275,339
2021-07-28T00:00:00.000Z,0,26,1,1,2,2.297,349
2021-07-29T00:00:00.000Z,0,34,3,2,5,3.331,301
2021-07-30T00:00:00.000Z,0,24,1,1,2,2.098,244
2021-07-31T00:00:00.000Z,0,28,3,1,5,3.889,264
2021-08-01T00:00:00.000Z,0,55,6,2,32.5,16.42,253
2021-08-02T00:00:00.000Z,0,21,4,2,7,4.337,242
2021-08-03T00:00:00.000Z,0,6,1,0,1,1.053,263
2021-08-04T00:00:00.000Z,0,29,1,1,2,2.704,220
2021-08-05T00:00:00.000Z,0,17,1,0,2,1.999,260
2021-08-06T00:00:00.000Z,0,24,1,0,3,3.322,319
2021-08-07T00:00:00.000Z,0,104,13.5,1,78,37.91,322
2021-08-08T00:00:00.000Z,0,127,9,7,16,19.075,285
2021-08-09T00:00:00.000Z,2,49,14,7,23,9.947,230
2021-08-10T00:00:00.000Z,0,17,2,2,3,1.807,299
2021-08-11T00:00:00.000Z,0,15,2,1,3,1.946,235
2021-08-12T00:00:00.000Z,1,52,4,3,14,8.899,291
2021-08-13T00:00:00.000Z,0,142,8,2,12,8.495,529
2021-08-14T00:00:00.000Z,0,101,3,1,6,6.569,441
2021-08-15T00:00:00.000Z,0,35,2,1,3,3.496,456
2021-08-16T00:00:00.000Z,0,15,2,2,4,1.985,510
2021-08-17T00:00:00.000Z,0,20,2,0,4,3.045,539
2021-08-18T00:00:00.000Z,1,42,10,3,16,9.071,458
2021-08-19T00:00:00.000Z,0,82,4,2,8,9.173,544
2021-08-20T00:00:00.000Z,1,103,7,5,10,8.423,511
2021-08-21T00:00:00.000Z,0,477,8,3,12,29.106,548
2021-08-22T00:00:00.000Z,0,275,2,1,5,24.298,519
2021-08-23T00:00:00.000Z,0,31,1,1,2,3.761,548
2021-08-24T00:00:00.000Z,0,15,1,0,2,1.701,533
2021-08-25T00:00:00.000Z,0,12,2,1,4,1.95,524
2021-08-26T00:00:00.000Z,0,55,10,6,30,13.652,386
2021-08-27T00:00:00.000Z,6,83,26,15.5,54,23.796,277
2021-08-28T00:00:00.000Z,0,36,3,1,7,5.293,371
2021-08-29T00:00:00.000Z,0,88,5,2,16.5,22.723,369
2021-08-30T00:00:00.000Z,0,24,1,0,2,2.449,520
2021-08-31T00:00:00.000Z,0,78,2,1,5,6.333,532
2021-09-01T00:00:00.000Z,0,47,2,1,3,4.497,521
2021-09-02T00:00:00.000Z,0,43,7,2,8,4.252,521
2021-09-03T00:00:00.000Z,0,54,5,2,8,6.971,547
2021-09-04T00:00:00.000Z,0,78,1,0,3,6.894,545
2021-09-05T00:00:00.000Z,0,54,2,1,4,7.983,471
2021-09-06T00:00:00.000Z,0,20,2,1,4,3.636,469
2021-09-07T00:00:00.000Z,0,15,1,0,3,2.667,450
2021-09-08T00:00:00.000Z,0,36,2,1,3,1.828,570
2021-09-09T00:00:00.000Z,0,31,4,2,5,3.094,501
2021-09-10T00:00:00.000Z,0,76,2,1,4,4.749,570
2021-09-11T00:00:00.000Z,0,44,2,1,5,5.04,572
2021-09-12T00:00:00.000Z,0,46,3,1,10,7.806,566
2021-09-13T00:00:00.000Z,0,37,1,0,6,9.358,565
2021-09-14T00:00:00.000Z,0,75,3,2,5,5.117,574
2021-09-15T00:00:00.000Z,0,33,5,2,9,8.242,572
2021-09-16T00:00:00.000Z,1,43,16,8,22,9.482,567
2021-09-17T00:00:00.000Z,0,9,2,1,3,1.504,564
2021-09-18T00:00:00.000Z,0,33,2,1,4,6.153,571
2021-09-19T00:00:00.000Z,0,6,1,1,2,1.285,571
2021-09-20T00:00:00.000Z,0,22,1,1,2,2.085,568
2021-09-21T00:00:00.000Z,0,51,1,1,2,2.756,564
2021-09-22T00:00:00.000Z,0,50,7,2,21,11.578,572
2021-09-23T00:00:00.000Z,0,157,3,1,5,11.339,572
2021-09-24T00:00:00.000Z,0,16,2,1,3,1.872,564
2021-09-25T00:00:00.000Z,0,54,3,1,15,10.527,570
2021-09-26T00:00:00.000Z,0,23,6,1,12,6.112,569
2021-09-27T00:00:00.000Z,0,129,5,2,12,14.407,555
2021-09-28T00:00:00.000Z,1,78,8,4,14,7.782,365
2021-09-29T00:00:00.000Z,0,48,7,4,12,9.096,573
2021-09-30T00:00:00.000Z,1,41,9,5,15,7.232,572
2021-10-01T00:00:00.000Z,0,51,7,4,12,7.326,569
2021-10-02T00:00:00.000Z,0,26,5,3,7,3.867,568
2021-10-03T00:00:00.000Z,0,19,3,1,6,3.082,570
2021-10-04T00:00:00.000Z,0,30,1,0,4,4.103,570
2021-10-05T00:00:00.000Z,0,12,4,3,5,1.879,572
2021-10-06T00:00:00.000Z,0,87,1,1,2,9.925,572
2021-10-07T00:00:00.000Z,0,32,5,1,8,5.131,573
2021-10-08T00:00:00.000Z,0,75,1,1,3,5.521,570
2021-10-09T00:00:00.000Z,0,109,2,1,3,8.278,572
2021-10-10T00:00:00.000Z,0,60,0,0,1,6.197,571
2021-10-11T00:00:00.000Z,0,57,1,0,3,7.96,571
2021-10-12T00:00:00.000Z,0,18,2,1,5,3.486,572
2021-10-13T00:00:00.000Z,0,58,1,0,2,4.705,568
2021-10-14T00:00:00.000Z,0,28,2,0,3,2.638,571
2021-10-15T00:00:00.000Z,0,51,3,1,5,4.049,571
2021-10-16T00:00:00.000Z,0,7,1,0,1,1.155,570
2021-10-17T00:00:00.000Z,0,19,3,1,6,3.354,572
2021-10-18T00:00:00.000Z,0,11,0,0,1,1.901,561
2021-10-19T00:00:00.000Z,0,16,2,1,4,2.063,574
2021-10-20T00:00:00.000Z,0,230,3,2,5,13.105,552
2021-10-21T00:00:00.000Z,0,29,2,1,3,3.685,570
2021-10-22T00:00:00.000Z,0,89,3,2,6,7.095,573
2021-10-23T00:00:00.000Z,0,75,2,1,3,7.316,571
2021-10-24T00:00:00.000Z,0,66,1,1,2,9.387,572
2021-10-25T00:00:00.000Z,0,11,1,0,3,2.658,573
2021-10-26T00:00:00.000Z,0,19,5,3,10,4.449,549
2021-10-27T00:00:00.000Z,0,146,1,1,3,9.149,569
2021-10-28T00:00:00.000Z,0,54,3,2,8,5.304,453
2021-10-29T00:00:00.000Z,0,18,1,0,2,2.033,572
2021-10-30T00:00:00.000Z,0,35,1,0,3,3.001,573
2021-10-31T00:00:00.000Z,0,29,3,1,7,4.47,567
2021-11-01T00:00:00.000Z,1,75,9,6,12,6.715,573
2021-11-02T00:00:00.000Z,0,112,3,2,3,8.055,553
2021-11-03T00:00:00.000Z,0,16,3,2,6,3.538,512
2021-11-04T00:00:00.000Z,0,10,3,2,4,2.086,570
2021-11-05T00:00:00.000Z,0,343,12,5,17,18.209,571
2021-11-06T00:00:00.000Z,0,187,4,2,6,11.173,566
2021-11-07T00:00:00.000Z,0,33,2,1,3,3.643,569
2021-11-08T00:00:00.000Z,0,72,1,0,5,5.689,473
2021-11-09T00:00:00.000Z,0,12,1,0,2,1.362,561
2021-11-10T00:00:00.000Z,0,17,1,0,1,1.884,555
2021-11-11T00:00:00.000Z,0,4,1,0,2,1.037,555
2021-11-12T00:00:00.000Z,0,5,1,0,2,1.059,531
2021-11-13T00:00:00.000Z,0,6,1,0,1,0.967,562
2021-11-14T00:00:00.000Z,0,8,1,1,2,1.35,543
2021-11-15T00:00:00.000Z,0,7,1,0,2,1.124,549
2021-11-16T00:00:00.000Z,0,6,1,0,2,1.363,556
2021-11-17T00:00:00.000Z,0,15,3,2,5,3.159,424
2021-11-18T00:00:00.000Z,0,48,1,0,2,3.768,535
2021-11-19T00:00:00.000Z,0,34,1,0,1,1.838,528
2021-11-20T00:00:00.000Z,0,19,0,0,0,1.096,542
2021-11-21T00:00:00.000Z,0,39,3,1,5,3.205,567
2021-11-22T00:00:00.000Z,1,19,7,5,11,3.805,561
2021-11-23T00:00:00.000Z,0,41,3,2,4,4.614,556
2021-11-24T00:00:00.000Z,0,49,6,4,8,4.172,563
2021-11-25T00:00:00.000Z,0,14,4,2,6,2.836,561
2021-11-26T00:00:00.000Z,0,26,2,1,3,1.952,568
